CC;CARGO;SETOR/EMPRESA
ASSISTENTE LOGISTICA SR;ALM INSUMOS BA;EXPEDIÇÃO
ALMOXARIFE;ALMOXARIFADO PECAS;ALMOXARIFADO
ANALISTA DE MELHORIA CONTINUA SR;ATB & LSS MANUF PROD;
AUXILIAR DE PRODUCAO;COMBI 24000;TODDYNHO
OPERADOR MULTIFUNCIONAL;COMBI 24000;TODDYNHO
ANALISTA CONTROLADORIA PL;CONTR FABR ITU MOH;
CWBEM;CWBEM;CWBEM
ASSISTENTE LOGISTICA SR;EXP E ARMAZENS FOODS;EXPEDIÇÃO
GERENTE DISTRIBUICAO;EXP E ARMAZENS FOODS;EXPEDIÇÃO
SUPERVISOR DE DISTRIBUICAO A;EXP E ARMAZENS FOODS;EXPEDIÇÃO
ANALISTA DE PCM PL;GERENCIA MANUTENCAO;MANUTENÇÃO
COORDENADOR DE UTILIDADES;GERENCIA MANUTENCAO;MANUTENÇÃO
ENGENHEIRO PL;GERENCIA MANUTENCAO;MANUTENÇÃO
GERENTE MANUTENCAO;GERENCIA MANUTENCAO;MANUTENÇÃO
TECNICO ELETROMECANICO II;GERENCIA MANUTENCAO;MANUTENÇÃO
TECNICO ESPECIALISTA;GERENCIA MANUTENCAO;MANUTENÇÃO
TECNICO MECANICO II;GERENCIA MANUTENCAO;MANUTENÇÃO
TECNICO MECANICO III;GERENCIA MANUTENCAO;MANUTENÇÃO
GERENTE DE MANUFATURA;GERENCIA PRODUCAO BA;
OPERADOR MULTIFUNCIONAL ESPECIALIZADO;GERENCIA PRODUCAO BA;
GERENTE DE MANUFATURA;GERENTE DE PLANTA BA;
LIMGER;LIMGER;LIMGER
MANPOWER;MANPOWER;MANPOWER
OPERADOR UTILIDADES;MANUTENCAO UTILIDADE;MANUTENÇÃO
AUXILIAR DE PRODUCAO;PREPARACAO ESTERELIZ;TODDYNHO
OPERADOR MULTIFUNCIONAL;PREPARACAO ESTERELIZ;TODDYNHO
OPERADOR MULTIFUNCIONAL ESPECIALIZADO;PREPARACAO ESTERELIZ;TODDYNHO
AUXILIAR DE PRODUCAO;PRODUCAO MAGICO BA;TODDYNHO
OPERADOR MULTIFUNCIONAL;PRODUCAO MAGICO BA;TODDYNHO
AUXILIAR DE PRODUCAO;PRODUCAO MISTURA BA;TODDYNHO
OPERADOR MULTIFUNCIONAL;PRODUCAO MISTURA BA;TODDY
AUXILIAR DE PRODUCAO;PRODUCAO TODDY BA;TODDY
OPERADOR MULTIFUNCIONAL;PRODUCAO TODDY BA;TODDY
ANALISTA DE QUALIDADE JR;QUALIDADE CHOCOLATE;QUALIDADE
COORDENADOR DE QUALIDADE;QUALIDADE CHOCOLATE;QUALIDADE
SUPERVISOR DE QUALIDADE;QUALIDADE CHOCOLATE;QUALIDADE
TECNICO DE QUALIDADE I;QUALIDADE CHOCOLATE;QUALIDADE
ANALISTA DE QUALIDADE PL;QUALIDADECENTRAL CO;QUALIDADE
TECNICO SEGURANCA DO TRABALHO II;SEG TRAB ENFERMAGEM;EHS
MANPOWER;MANPOWER;MANPOWER - TODDYNHO
